# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
9.814935,2420.354884,-0.375466,-1.216217
10.061699,2462.770799,-0.393451,-1.170126
10.227386,2490.752609,-0.405316,-1.139720
10.277249,2499.095897,-0.408516,-1.131493
10.303387,2503.455107,-0.407408,-1.134091
10.329525,2507.804513,-0.406303,-1.136684
10.355663,2512.144134,-0.405201,-1.139270
10.385216,2517.038956,-0.403957,-1.142187
10.408596,2520.902420,-0.402975,-1.144490
10.431975,2524.758091,-0.401996,-1.146788
10.455355,2528.605977,-0.401018,-1.149081
10.492134,2534.643577,-0.399484,-1.152679
10.521043,2539.375602,-0.398282,-1.155500
10.549951,2544.095788,-0.397083,-1.158313
10.578860,2548.804158,-0.395887,-1.161119
10.607768,2553.500732,-0.394693,-1.163918
10.647020,2559.858854,-0.393078,-1.167707
10.686271,2566.195318,-0.391468,-1.171484
10.725523,2572.510171,-0.389864,-1.175247
10.764775,2578.803461,-0.388265,-1.178998
10.809316,2585.918856,-0.386457,-1.183239
10.845973,2591.753981,-0.384974,-1.186716
10.882630,2597.570435,-0.383497,-1.190183
10.919288,2603.368255,-0.382024,-1.193638
10.959623,2609.726420,-0.380408,-1.197428
10.999959,2616.062118,-0.378798,-1.201204
11.040295,2622.375400,-0.377194,-1.204966
11.105011,2632.457994,-0.374633,-1.210975
11.158403,2640.733053,-0.372530,-1.215907
11.211795,2648.969177,-0.370438,-1.220816
11.265187,2657.166482,-0.368355,-1.225701
11.318579,2665.325081,-0.366282,-1.230564
11.372538,2673.531140,-0.364197,-1.235455
11.426497,2681.697903,-0.362123,-1.240322
11.480457,2689.825473,-0.360058,-1.245166
11.588375,2705.963613,-0.355957,-1.254784
11.696293,2721.946336,-0.351897,-1.264309
11.804211,2737.774469,-0.347875,-1.273743
11.824363,2740.713058,-0.347129,-1.275494
11.844516,2743.646288,-0.346383,-1.277242
11.864668,2746.574166,-0.345640,-1.278987
11.904973,2752.413900,-0.344156,-1.282468
11.945277,2758.232297,-0.342678,-1.285935
11.985582,2764.029401,-0.341205,-1.289390
12.054631,2773.911590,-0.338694,-1.295280
12.123681,2783.731601,-0.336199,-1.301133
12.192731,2793.489657,-0.333720,-1.306948
12.261781,2803.185966,-0.331256,-1.312727
12.376385,2819.143554,-0.327202,-1.322238
12.490990,2834.932517,-0.323191,-1.331648
12.605594,2850.553755,-0.319222,-1.340958
12.720198,2866.008148,-0.315295,-1.350168
12.863876,2885.148928,-0.310432,-1.361576
13.007553,2904.030671,-0.305635,-1.372829
13.151231,2922.654875,-0.300903,-1.383929
13.346079,2947.502788,-0.294590,-1.398738
13.540926,2971.883420,-0.288396,-1.413269
13.735774,2995.800842,-0.282319,-1.427523
13.930622,3019.258714,-0.276359,-1.441504
14.114602,3040.989609,-0.270838,-1.454455
14.147853,3044.873897,-0.269851,-1.456770
14.181105,3048.745014,-0.268868,-1.459077
14.214356,3052.602974,-0.265432,-1.463088
14.246901,3056.366379,-0.259698,-1.468660
14.279447,3060.117208,-0.253984,-1.474214
14.311993,3063.855477,-0.248288,-1.479749
14.351357,3068.360106,-0.241426,-1.486419
14.390720,3072.846411,-0.234591,-1.493062
14.422171,3076.417676,-0.229150,-1.498349
14.453621,3079.977274,-0.223727,-1.503620
