# Time (s), X (m), Y (m), Z (m)
79.102525,617.569025,591.932942,2793.854833
80.527170,617.110023,590.046157,2770.124759
82.004785,616.624796,588.110600,2745.545574
83.482401,616.130279,586.196767,2721.000010
84.960016,615.626500,584.304618,2696.487881
87.453332,614.755484,581.160882,2655.201556
89.946648,613.858232,578.078634,2614.009046
92.439964,612.934815,575.057723,2572.909505
94.818332,612.029638,572.233131,2533.790724
97.196701,611.101386,569.462550,2494.755128
97.791293,610.866170,568.777223,2485.009393
98.385885,610.630522,568.092762,2475.269373
98.980477,610.395049,567.407666,2465.535110
99.575069,610.160308,566.720548,2455.806815
100.272787,609.886281,565.910453,2444.398940
100.970505,609.614182,565.095292,2432.999401
101.668223,609.344378,564.274151,2421.608235
103.053485,608.816532,562.623578,2399.016812
104.438748,608.300058,560.943666,2376.458315
105.824011,607.795856,559.232176,2353.932619
107.185274,607.312776,557.518504,2331.828964
108.546537,606.842166,555.772803,2309.756611
109.907800,606.384126,553.994822,2287.715361
111.103033,605.992366,552.406963,2268.387944
112.298265,605.610365,550.794052,2249.084269
116.811362,604.255912,544.478092,2176.406184
121.324459,603.040289,537.805795,2104.058236
125.837556,601.963017,530.778411,2032.034861
126.655593,601.782551,529.466657,2019.014623
127.473631,601.606610,528.143288,2006.004845
128.291668,601.435189,526.808318,1993.005482
129.458338,601.199856,524.885986,1974.484407
130.349408,601.028640,523.404758,1960.353493
131.240478,600.867346,521.915387,1946.236276
132.131549,600.717999,520.420364,1932.133215
133.174493,600.559942,518.665285,1915.644662
134.217437,600.422223,516.907362,1899.176062
135.260381,600.306362,515.148486,1882.727473
136.303325,600.213048,513.389531,1866.298790
137.692813,600.124338,511.046771,1844.441943
139.082301,600.076706,508.705307,1822.619965
140.471789,600.070376,506.365480,1800.832657
143.493075,600.199657,501.284393,1753.577350
146.514360,600.525373,496.213577,1706.482884
149.535645,601.047320,491.153611,1659.546967
152.556930,601.764786,486.104408,1612.767453
156.916379,603.143147,478.837557,1545.540237
157.633651,603.408639,477.644025,1534.509515
158.350923,603.685049,476.451089,1523.487299
159.068195,603.972369,475.258750,1512.473565
160.502740,604.581122,472.878571,1490.470828
160.675606,604.657546,472.592151,1487.821671
161.021338,604.812531,472.019874,1482.524718
161.367071,604.970514,471.448627,1477.229517
161.712803,605.131657,470.878720,1471.936005
162.558143,605.539876,469.492630,1458.999834
163.403483,605.969308,468.118992,1446.073089
164.248823,606.421129,466.760057,1433.155481
165.603280,607.193640,464.616998,1412.476843
166.957737,608.027517,462.519193,1391.821132
168.312193,608.924044,460.469160,1371.188157
169.642701,609.866305,458.503076,1350.942007
